word,remarks
healthy,健康な
lovely,美しい
dumb,口のきけない
modern,現代的な
peaceful,平和な
raw,生の～
international,国際的な
back,裏の～ 後ろの～
natural,自然の～
lost,道に迷った
quick,速い
first,1番目の
second,2番目の
third,3番目の
forth,4番目の
fifth,5番目の
sixth,6番目の
seventh,7番目の
eighth,8番目の
ninth,9番目の
tenth,10番目の
eleventh,11番目の
twelfth,12番目の
thirteenth,13番目の
fourteenth,14番目の
fifteenth,15番目の
sixteenth,16番目の
seventeenth,17番目の
eighteenth,18番目の
nineteenth,19番目の
twentieth,20番目の
thirtieth,30番目の
unhappy,不幸な
lazy,怠け者の
brave,勇敢な
pale,青ざめた
simple,簡単な 質素な
daily,毎日の
exciting,興奮させる
senior,年上の (older) 上級の (high level)
safe,安全な
national,国家の 国民の
Chinese,中国の (belongs to the country) 中国人の (belongs to the people)
another,ほかの もうひとつの
than,よりも
while,～する間
but,しかし
when,～するとき
during,～の間 ～を通じて
excited,興奮した
fat,太った
funny,おかしな
cute,可愛い
sleepy,眠い
delicious,おいしい
calm,落ちついた
tiny,小さな
final,最後の
central,中心の
wet,濡れている
common,共通の
because,なぜなら
and,～と
however,しかし
hello,こんにちは
after,～の後で
crazy,気の狂った
fond,好きで
friendly,好意的な
silent,静かな
close,接近した
real,ほんとうの
certain,ある
wrong,間違った ぐあいが悪い
weekly,週刊
snowy,雪の降る
whole,すべての
if,もし
although,であるけれど
though,だけれども
or,それとも
between,～と～の間
tonight,今夜(は)
ever,今まで
once,かつて １度
finally,ついに
straight,まっすぐに
everywhere,どこでも
down,下に
pretty,かなり
besides,その上
maybe,おそらく
surely,確かに
certainly,確かに
easily,かんたんに
neither,～も～も(ない)
alone,ひとりきりで
hard,いっしょうけんめい
forever,永久に
suddenly,突然
especially,特に
quickly,すばやく
long,長く
away,離れて
abroad,外国へ
ahead,前方に
all,まったく
almost,ほとんど
indeed,実に
else,そのほかに
anyway,ともかく
either,(もまた)～でない
gently,やさしく
probably,多分
happily,幸せに 楽しく
then,それから そのとき それでは
twice,２回
still,まだ
recently,最近
off,離れて
across,横にさし渡し (△ This is a little strange and not used very often) 横切って
round,まわりに (Ex. There are chairs around the table.) まわりを (Ex. There is a table surrounded by chairs.)
just,ちょうど ただ単に
quite,まったく
perhaps,多分
even,～さえ
quietly,静かに
fine,うまく
carefully,注意深く
never,１度も～ない
really,本当に
